#{"t_start": 1750910061.867556, "env_id": "None"}
r,l,t
33.943752,3,54.853598
135.74786,4,54.925166
-33.947463,3,54.970901
112.698642,4,55.021275
133.689923,4,55.091873
-15.748807,4,55.147719
112.345988,4,55.214621
-77.630419,4,55.271913
-54.935022,4,55.338572
89.517632,4,55.401878
-16.061792,4,55.463533
-11.341936,4,55.521077
0.192287,4,55.58832
40.782666,4,55.645789
53.686462,4,55.71163
-45.554009,4,55.774262
-23.772637,4,55.834954
45.694839,3,55.874433
142.598893,4,55.94309
7.37358,4,56.004484
118.04651,4,56.067578
-57.98275,4,56.158657
-106.174689,4,56.275864
-10.977489,4,56.337888
19.908683,4,56.412335
66.536854,4,56.470128
41.6594,4,56.53227
-117.411149,4,56.588598
-148.398964,4,56.659595
-100.752347,4,56.722871
84.518272,4,56.784184
-65.658317,4,56.838099
165.762044,4,56.911482
85.935294,4,56.977255
-158.150331,4,57.053834
-49.144041,3,57.104791
157.765382,4,57.173975
-18.785501,4,57.239673
72.127684,4,57.306066
-217.415114,4,57.388865
-51.26695,4,57.4595
136.11441,4,57.523314
-161.855313,4,57.59107
-188.706533,4,57.653316
153.417203,4,57.711329
-101.466357,4,57.77012
-20.672264,4,57.840844
118.426964,4,57.923179
116.086723,4,57.986983
-190.895756,4,58.050764
13.5853,4,58.104577
-96.146084,4,58.154775
-61.105097,4,58.231358
222.61928,4,58.290686
42.12093,3,58.338625
29.330761,3,58.389237
-143.473073,4,58.468509
162.106173,4,58.538951
18.070062,4,58.604694
-160.932317,4,58.671312
8.112951,4,58.731283
-34.849524,4,58.789007
89.443176,4,58.851705
89.286523,3,58.893465
61.320755,4,58.93798
-95.976089,4,59.008565
-155.240341,4,59.070295
-30.996507,4,59.138147
-54.651672,3,59.195386
-21.131683,4,59.269913
21.982657,4,59.338603
123.965125,4,59.403589
-2.538887,4,59.455377
31.311971,4,59.510399
38.510254,4,59.572393
26.416218,3,59.611337
-107.375369,4,59.671317
-152.819079,4,59.734388
44.130323,4,59.794049
-97.009455,4,59.854809
18.777917,3,59.903614
-6.736948,4,59.958491
-170.163362,4,60.016525
22.583167,4,60.088546
140.9502,4,60.170622
-61.628256,3,60.220551
-96.976029,4,60.287966
-97.668257,4,60.35341
102.566302,4,60.411744
131.661435,4,60.467471
112.120464,4,60.470238
9.773716,3,60.471321
-97.862559,4,60.474023
-78.198891,4,60.476019
-115.798609,4,60.478011
-64.971786,4,60.537957
1.419616,4,60.58812
153.1785,4,60.663609
-55.019784,3,60.704748
13.431435,4,60.764608
63.203206,4,60.821887
-69.963028,4,60.897521
91.470257,4,60.957696
70.235998,4,61.017543
20.193504,4,61.071765
4.260183,3,61.121505
-189.157016,4,61.210702
53.694582,4,61.319199
15.650387,4,61.370466
80.467586,4,61.444795
-140.707531,4,61.510662
13.336254,3,61.570389
70.836375,4,61.638166
81.558854,4,61.704773
-144.772935,4,61.76472
-37.051708,4,61.825377
49.972441,3,61.871885
-102.808238,4,61.948183
102.020978,4,62.015814
17.68393,4,62.070299
84.417988,4,62.121585
98.011489,3,62.17174
155.300442,4,62.245883
-127.579131,4,62.301656
13.276814,4,62.355083
9.547865,3,62.404973
-97.792289,4,62.472101
-58.220894,4,62.530515
-84.497564,4,62.588609
-37.295287,4,62.647547
-152.636265,4,62.708914
-171.274424,4,62.767522
-128.597449,4,62.831162
-1.108094,4,62.894249
21.588717,3,62.939164
214.370111,4,62.997876
-19.743829,4,63.055018
81.545653,3,63.104971
-146.180366,4,63.169725
-61.765152,4,63.228503
62.448606,4,63.288913
51.83863,4,63.355863
-20.710425,4,63.414873
-44.156954,4,63.473403
-5.027062,4,63.53691
-122.407124,4,63.595857
45.872269,4,63.653549
57.693796,4,63.704828
-178.014003,4,63.77153
-81.170905,4,63.836472
-180.463856,4,63.889044
26.046462,4,63.950788
151.866995,4,64.004983
-120.048617,4,64.07435
17.76583,4,64.131695
-183.525129,4,64.188028
-51.049421,3,64.237334
-21.826097,4,64.29336
-5.882596,4,64.352822
22.22422,4,64.412923
-18.23576,4,64.471601
206.540559,4,64.531917
24.262743,3,64.5715
15.616466,3,64.604908
-109.686933,5,64.691582
96.515335,4,64.75204
59.45295,3,64.791725
0.691085,4,64.861859
-88.795261,4,64.921547
-47.019101,4,64.989508
49.283818,4,65.047688
63.669891,3,65.091699
