#{"t_start": 1749825858.1344798, "env_id": "None"}
r,l,t
55.184117,3,51.904529
32.910304,4,51.960515
-32.157431,4,52.024235
-68.652087,4,52.086946
11.340896,4,52.142628
-5.129063,3,52.19592
60.17782,4,52.259562
66.039891,4,52.316778
10.065446,4,52.387847
39.283558,3,52.430247
-76.241136,4,52.494122
-59.617538,4,52.555666
65.525631,4,52.62137
-4.671365,4,52.680079
8.80858,4,52.739102
99.802419,4,52.802323
-60.111801,4,52.855122
41.866969,4,52.922437
6.742763,4,52.975157
-47.527837,4,53.033403
34.637502,3,53.076911
27.43687,3,53.121536
-45.549605,4,53.190988
74.496402,4,53.254707
116.076198,4,53.321224
5.540982,3,53.354846
78.801899,4,53.429502
4.14854,4,53.486101
34.332981,3,53.52719
6.693809,4,53.591297
116.666544,4,53.660817
-5.973633,4,53.721362
59.763983,4,53.7869
21.835052,3,53.821282
107.447731,4,53.890152
66.334346,3,53.93882
87.005447,4,54.004539
217.207588,4,54.064487
-5.292593,3,54.104875
51.02383,4,54.178533
-41.164972,4,54.238577
99.73795,4,54.312901
-42.167184,4,54.368492
-33.590393,4,54.421124
31.470272,3,54.470223
119.431546,4,54.533249
19.095656,3,54.571738
15.579385,4,54.644926
-15.750547,4,54.704772
70.967771,4,54.767913
-39.465217,4,54.825597
64.840828,3,54.874388
76.863766,3,54.922481
-19.572916,4,54.989229
5.469044,3,55.036322
-7.403631,4,55.094005
56.227373,3,55.141021
-26.568476,4,55.211423
-3.380811,4,55.267902
25.160172,3,55.315816
-21.162662,4,55.380741
56.849447,4,55.44306
67.508735,4,55.502912
11.042041,3,55.538462
64.180704,4,55.605016
17.033069,4,55.671748
188.568425,4,55.741191
-27.396957,4,55.806835
73.241984,4,55.875071
127.17299,4,55.986187
11.43768,4,56.052158
-9.795127,4,56.109635
-32.464331,4,56.170363
138.664794,4,56.228192
-81.631584,4,56.287174
40.64367,4,56.35017
-73.813812,4,56.415282
-17.425917,4,56.478292
46.046866,3,56.521527
-18.666969,4,56.583351
-66.634119,4,56.643545
-33.731378,4,56.704912
27.485528,4,56.761446
47.18955,4,56.8217
18.712451,3,56.872468
-6.106184,4,56.936944
103.62567,4,56.991957
-17.151376,4,57.05495
-36.810575,4,57.120302
117.895422,4,57.180305
61.70053,4,57.243071
-27.84263,4,57.288446
-23.314696,4,57.354886
-14.676965,4,57.426648
-37.381871,4,57.488756
9.814481,4,57.5451
18.956067,4,57.605103
57.997311,4,57.674801
112.569917,4,57.734509
-36.21542,4,57.79931
132.62702,4,57.855152
52.269767,4,57.920821
57.286893,4,57.971729
29.445135,4,58.046931
104.309828,4,58.104971
16.155673,4,58.180614
-44.595702,4,58.24611
103.717159,4,58.307746
-7.532616,4,58.374549
15.769336,4,58.421853
131.440212,4,58.49112
-25.431213,4,58.55494
47.664547,4,58.605546
77.468004,4,58.682552
-15.023479,4,58.74504
133.066631,4,58.805797
49.280431,3,58.855496
107.470465,4,58.912306
63.489456,3,58.955058
120.424706,4,59.005248
-12.208681,4,59.072007
44.590704,4,59.147478
-42.092826,4,59.206016
-71.568628,4,59.268832
33.044317,3,59.323063
-62.946682,4,59.388145
22.521333,3,59.420861
190.303494,4,59.488987
9.405413,4,59.538627
72.603732,3,59.592367
69.177491,3,59.646224
71.019435,4,59.711074
118.299009,4,59.7719
-6.031336,4,59.842401
53.639498,4,59.917009
-67.342937,4,59.978797
100.125702,4,60.040092
145.681168,4,60.104714
36.162592,3,60.138271
14.343705,3,60.194831
184.468637,4,60.255174
119.520254,4,60.321787
62.687303,4,60.38279
28.337729,4,60.442179
80.071764,3,60.488592
19.65867,4,60.557103
1.175701,4,60.616778
-16.139134,4,60.676865
78.105676,4,60.738366
-33.256613,4,60.802119
53.836857,3,60.838567
75.363806,4,60.906582
70.921179,3,61.030029
16.481376,4,61.110872
152.278909,4,61.191988
-3.799099,4,61.254082
62.030876,4,61.312573
-41.354732,4,61.379546
-67.348437,4,61.448906
40.666312,4,61.505171
9.139799,4,61.569714
31.220835,4,61.635288
27.229664,3,61.684196
130.322998,4,61.740436
51.381806,4,61.796354
61.968996,3,61.848481
44.175798,3,61.889532
49.603016,4,61.960356
40.782863,3,62.008799
69.609966,3,62.055256
-1.046847,4,62.111062
123.183438,4,62.172648
-20.739402,4,62.238809
31.834817,4,62.301286
-38.416668,4,62.358266
55.221382,4,62.42049
144.738871,4,62.422578
47.885054,3,62.424567
65.897451,4,62.427387
75.967503,3,62.429386
30.356946,4,62.431386
142.788936,4,62.511914
99.641661,4,62.574798
48.396289,3,62.621759
46.857703,3,62.670439
-54.798849,4,62.738711
55.034063,4,62.801349
-15.006187,3,62.838453
93.824993,4,62.905124
-14.211655,4,62.972654
39.811495,3,63.023883
71.781687,4,63.082548
3.184617,3,63.121833
