#{"t_start": 1749829741.4038556, "env_id": "None"}
r,l,t
97.169815,4,62.718115
-50.901704,4,62.781028
74.188425,4,62.841722
-65.65648,4,62.899334
-42.545576,4,62.951888
8.075334,3,63.001806
79.545844,4,63.075116
95.088539,4,63.137755
128.552705,4,63.201635
63.308466,3,63.253295
46.357768,4,63.310178
7.778017,4,63.368074
45.280734,4,63.434804
45.442834,4,63.491673
20.269221,4,63.548312
36.863998,3,63.584894
36.274001,4,63.654053
-10.761155,4,63.701611
163.640876,4,63.774853
55.191486,4,63.839688
-34.682786,4,63.901496
41.687222,3,63.934792
17.15489,4,64.001708
70.889835,3,64.050645
-68.888349,4,64.118253
-25.415256,4,64.179793
82.047057,4,64.242786
45.197557,4,64.308382
170.672393,4,64.421955
135.683078,4,64.481915
81.738313,4,64.545651
41.664657,3,64.586925
29.02321,4,64.651507
215.291581,4,64.717045
-26.974481,4,64.782019
32.694441,4,64.841513
52.315393,3,64.888701
-28.182814,4,64.950306
21.812619,4,65.010501
70.516925,3,65.053216
158.109695,4,65.11802
54.66365,4,65.181118
26.633789,4,65.242168
186.044846,4,65.302507
-5.407035,4,65.36814
150.662739,4,65.431081
102.016644,4,65.488494
74.132043,4,65.550429
48.661308,4,65.616724
6.782028,4,65.67483
117.249437,4,65.733417
8.923442,4,65.793506
16.689526,4,65.851897
-8.305419,4,65.919084
7.469502,4,65.978093
22.844992,4,66.0408
-90.425435,4,66.101785
62.286678,4,66.168121
86.913054,4,66.230181
125.478227,4,66.291384
107.483624,4,66.353076
19.169493,4,66.41636
14.948726,4,66.472261
-35.339561,4,66.531132
16.331832,3,66.580019
199.182396,4,66.635073
14.600035,4,66.699799
-28.063282,4,66.768186
-18.512107,4,66.8301
